idx,ADA-USD,BIZD,BKLN,BNB-USD,BTC-USD,CL=F,CWB,DOGE-USD,ETH-USD,FXE,GDX,GDXJ,GLD,HG=F,HYG,IEF,IWF,IWM,JJC,LQD,MBB,MDY,MTUM,MUB,NG=F,PFF,QQQ,QUAL,SDY,SHY,SPHB,SPLV,TIP,TLT,UDN,UNG,USDT-USD,USO,UUP,VIXM,VIXY,VNQ,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XMR-USD,XOP,XRP-USD
2020-08-08,0.14073857466682976,11.85488743648222,21.631414587745276,22.031361484728492,11483.230035195556,41.2024978257271,65.54116081890606,0.0034885235776877166,384.6575473687261,111.23481014491172,43.26065543062458,61.57530590473049,188.88499147435593,2.885659104615737,85.0934486035892,122.73387686428389,209.28160612591788,150.38995622082987,14.7295376974479,138.4973547948117,110.69216195446349,343.8906542902067,141.41954326661357,116.8727067593334,2.066435457912487,36.04156352761874,267.6241282639337,101.1624755051895,94.2014849690715,86.58227246835126,41.43093311316999,53.437499740404355,126.06362050515372,170.65632540507696,21.100806964962572,12.002813236234434,1.0036634774347122,29.580415228865697,25.211359144775972,39.14780866882249,92.38682448849195,81.12602466603983,60.81586847128237,36.65429157022612,24.16143539565647,72.68026756895354,111.88854609022476,62.87487310782357,60.500313017632955,106.10321050116674,137.81610074161293,89.79623940451019,52.452299171242856,0.29605296011987003
2020-08-09,0.14084405598298821,11.85488743648222,21.631414587745276,22.2152936161621,11497.503689432633,41.2024978257271,65.54116081890606,0.0034939727244760093,387.68263784842884,111.23481014491172,43.26065543062458,61.57530590473049,188.88499147435593,2.885659104615737,85.0934486035892,122.73387686428389,209.28160612591788,150.38995622082987,14.7295376974479,138.4973547948117,110.69216195446349,343.8906542902067,141.41954326661357,116.8727067593334,2.066435457912487,36.04156352761874,267.6241282639337,101.1624755051895,94.2014849690715,86.58227246835126,41.43093311316999,53.437499740404355,126.06362050515372,170.65632540507696,21.100806964962572,12.002813236234434,1.0044268658946751,29.580415228865697,25.211359144775972,39.14780866882249,92.38682448849195,81.12602466603983,60.81586847128237,36.65429157022612,24.16143539565647,72.68026756895354,111.88854609022476,62.87487310782357,60.500313017632955,106.10321050116674,137.81610074161293,90.60280218748237,52.452299171242856,0.29921765663144
2020-08-10,0.1421719447151174,11.85488743648222,21.631414587745276,22.43641601433245,11526.381562749382,41.2024978257271,65.54116081890606,0.003489469635363667,389.7855817736077,111.23481014491172,43.26065543062458,61.57530590473049,188.88499147435593,2.885659104615737,85.0934486035892,122.73387686428389,209.28160612591788,150.38995622082987,14.7295376974479,138.4973547948117,110.69216195446349,343.8906542902067,141.41954326661357,116.8727067593334,2.066435457912487,36.04156352761874,267.6241282639337,101.1624755051895,94.2014849690715,86.58227246835126,41.43093311316999,53.437499740404355,126.06362050515372,170.65632540507696,21.100806964962572,12.002813236234434,1.0029625374092421,29.580415228865697,25.211359144775972,39.14780866882249,92.38682448849195,81.12602466603983,60.81586847128237,36.65429157022612,24.16143539565647,72.68026756895354,111.88854609022476,62.87487310782357,60.500313017632955,106.10321050116674,137.81610074161293,91.57001806715809,52.452299171242856,0.30010576932439037
2020-08-11,0.14311557630356364,12.026399584066246,21.633513274730742,22.58056369236982,11619.609622654449,41.42894895277501,65.65349221232692,0.0035078010196765074,391.8504007303426,111.18273739558477,43.4759078830404,61.986876679931115,189.85849503733647,2.876883812665199,85.14586621451453,122.70985076475239,210.27483589414237,151.90370121915805,14.69219646733573,138.56212785468114,110.69792150416771,346.1233584819687,141.74251317080495,116.94646643500393,2.106749842564305,36.05324283986833,269.4431764595502,101.75470183864057,94.75572774276114,86.57582518769306,42.127719122443224,53.558704555462135,126.13727290974107,170.48686118477994,21.093616818249597,12.127357934727721,1.0032682224670417,29.85280380995069,25.21984331030683,38.96540986553176,90.34314768723144,81.26715077641444,61.002108097270536,36.88875821621562,24.325386092084536,73.52513087979092,112.8344687923388,62.97458841949711,60.63191203271224,106.14983708282432,138.62867132580445,92.39260634653454,53.11992556980927,0.29907952961658246
2020-08-12,0.14268496433743388,12.147949206785771,21.641831489610073,22.527429188801943,11668.783446173953,41.65371809298328,65.75520243130127,0.0035050957240193733,391.31920008978994,111.13677374957439,42.58474590155076,60.62932043028856,188.15201181049287,2.8743161875101495,85.06925858422845,122.49410132226586,210.55228426200966,154.05519491611116,14.656639370246696,138.47437381887025,110.68623026921156,349.8286875637732,141.22980819672324,117.00917041293077,2.1351649753481805,36.06538271007727,270.1801657893137,102.73237321666639,95.66350408840192,86.55780480283158,42.817690201025165,53.660152962319216,126.15040773807165,169.4735044713857,21.08699469898571,12.248189930627118,1.0033955368159773,30.007843865063833,25.230009003528316,38.82963214994655,88.45540244571245,81.49267778211069,61.29632346441836,37.35077412388447,24.637244608553097,74.71627653093243,113.3809838779074,63.185914603837716,60.682958377969825,106.24015273049093,139.59806610953828,92.42386798014489,53.94686361366266,0.29568747578019405
2020-08-13,0.14147405162295565,12.379089298792952,21.654344651889915,22.32226657899245,11671.585758294541,41.85410148067512,65.8400980446024,0.003491647506859339,389.210611112703,111.25579887483039,42.22069939917544,60.113200249906235,187.24758640592964,2.8752154060732464,85.01600872383607,122.28702773967302,210.58709675486048,155.3352955087677,14.639258799131559,138.34804560601526,110.66015246423223,351.945563476082,141.13343250183314,117.05445607674274,2.17672110314096,36.11235143689979,270.30614728255756,103.07359124372647,96.34959319524748,86.54527236500019,43.181953023825166,53.74089543223791,126.15689836902081,168.83022079206697,21.100937927813508,12.423881038303094,1.0044400337899584,30.17686603304371,25.20809304284723,38.66358767293291,87.16456596297333,81.69327947931541,61.596619984939075,37.70559249648958,24.844781640881607,75.66545691282995,113.5021932189454,63.397481670935846,60.718358125581496,106.27308063584863,140.6353529560259,92.43086330817003,54.51018544113936,0.2936474068924446
2020-08-14,0.1409377661502458,12.416230481736337,21.695643012962886,22.13513270466022,11646.683508672104,42.03340384512023,65.91851261758329,0.0034828265432623497,392.05235891893847,111.3680591963612,41.79368873849299,59.62566848791201,186.7634549836558,2.8677909783899906,84.88408010334139,122.02722339888699,210.94337858564933,156.25779187671557,14.55391366932021,137.83782690820914,110.65654125989748,353.5876165912376,141.1633637078516,117.05971134097088,2.1830853475775784,36.18128314353011,270.73140484025475,103.37681004002872,96.90556912135153,86.53453963805478,43.4100719226546,53.8036625216014,126.08861816587994,167.77665973688752,21.11212846265733,12.467926759924397,1.0064685075837267,30.324401260938437,25.19539992377502,38.63132999303296,86.13348663406404,81.81334570075643,62.06220272664613,37.904955770486836,24.946256573579063,76.19481221917823,113.63071503398737,63.55066714508627,60.76743327930036,106.36724308040056,141.4524107744272,92.170135569906,54.96363079300962,0.2919742844918823
2020-08-15,0.14075435409047998,12.446046819587105,21.740810199217538,22.16497962137795,11672.220933116267,42.01659158095898,65.96698460144817,0.0034819470899246554,400.0251377975901,111.17734184295098,41.21294701703781,58.84067110606024,185.69301517517678,2.8568057292970193,84.76873912379449,121.91527336730387,210.99565669004238,156.7252986423768,14.517141006956027,137.3902579184384,110.65129959220141,354.4760267815179,141.1060892698272,117.06247000604095,2.1968552482634864,36.22243799473545,270.9159392346576,103.57186809479559,97.24706112274053,86.52509139697993,43.65890941995521,53.88718640068005,125.96061431731478,167.19699765939873,21.075929611342524,12.557191247782054,1.0073124225803953,30.247427871490604,25.209835734647086,38.70938632110557,85.45592520332721,81.78380894027612,62.155364137550364,37.97512833531203,25.03010322117108,76.58085257994385,113.63027831154754,63.63061262362018,60.78514797329481,106.38023791296942,142.08336506247784,91.53707623034222,55.14787753431515,0.2912244282888887
2020-08-16,0.14030186714662923,12.446046819587105,21.740810199217538,22.268526961492526,11694.649346490338,42.01659158095898,65.96698460144817,0.0034880241958637355,406.2130185172981,111.17734184295098,41.21294701703781,58.84067110606024,185.69301517517678,2.8568057292970193,84.76873912379449,121.91527336730387,210.99565669004238,156.7252986423768,14.517141006956027,137.3902579184384,110.65129959220141,354.4760267815179,141.1060892698272,117.06247000604095,2.1968552482634864,36.22243799473545,270.9159392346576,103.57186809479559,97.24706112274053,86.52509139697993,43.65890941995521,53.88718640068005,125.96061431731478,167.19699765939873,21.075929611342524,12.557191247782054,1.0070638153121152,30.247427871490604,25.209835734647086,38.70938632110557,85.45592520332721,81.78380894027612,62.155364137550364,37.97512833531203,25.03010322117108,76.58085257994385,113.63027831154754,63.63061262362018,60.78514797329481,106.38023791296942,142.08336506247784,91.17543757063567,55.14787753431515,0.29209818113827624
2020-08-17,0.1391169384041311,12.446046819587105,21.740810199217538,22.36849063555778,11714.238541926534,42.01659158095898,65.96698460144817,0.003492303059830384,410.5254860395543,111.17734184295098,41.21294701703781,58.84067110606024,185.69301517517678,2.8568057292970193,84.76873912379449,121.91527336730387,210.99565669004238,156.7252986423768,14.517141006956027,137.3902579184384,110.65129959220141,354.4760267815179,141.1060892698272,117.06247000604095,2.1968552482634864,36.22243799473545,270.9159392346576,103.57186809479559,97.24706112274053,86.52509139697993,43.65890941995521,53.88718640068005,125.96061431731478,167.19699765939873,21.075929611342524,12.557191247782054,1.0068593405189772,30.247427871490604,25.209835734647086,38.70938632110557,85.45592520332721,81.78380894027612,62.155364137550364,37.97512833531203,25.03010322117108,76.58085257994385,113.63027831154754,63.63061262362018,60.78514797329481,106.38023791296942,142.08336506247784,90.79419183162909,55.14787753431515,0.29315886134915004
